national_team,official_squad_player_name,date_of_birth,official_club,candidate_transfermarkt_player_id,transfermarkt_name,match_evidence,review_status,reviewer,reviewed_at,notes
Mexico,RANGEL Raul,,CD Guadalajara (MEX),802855.0,Raúl Rangel,Accepted: unique exact normalized/reversed name and matching nationality; club similarity=54.90196078431373.,accepted,ChatGPT deterministic local-data review,2026-06-15,"Accepted only when local Transfermarkt data produced a unique or strict high-confidence match using name, nationality, DOB, and/or club evidence."
Mexico,SANCHEZ Jorge,,PAOK Saloniki (GRE),356044.0,Jorge Sánchez,Accepted: unique exact normalized/reversed name and matching nationality; club similarity=35.29411764705882.,accepted,ChatGPT deterministic local-data review,2026-06-15,"Accepted only when local Transfermarkt data produced a unique or strict high-confidence match using name, nationality, DOB, and/or club evidence."
Mexico,MONTES Cesar,,FC Lokomotiv Moscow (RUS),387687.0,César Montes,Accepted: unique exact normalized/reversed name and matching nationality; club similarity=0.,accepted,ChatGPT deterministic local-data review,2026-06-15,"Accepted only when local Transfermarkt data produced a unique or strict high-confidence match using name, nationality, DOB, and/or club evidence."
Mexico,ALVAREZ Edson,,Fenerbahçe SK (TUR),401356.0,Edson Álvarez,Accepted: unique exact normalized/reversed name and matching nationality; club similarity=68.57142857142857.,accepted,ChatGPT deterministic local-data review,2026-06-15,"Accepted only when local Transfermarkt data produced a unique or strict high-confidence match using name, nationality, DOB, and/or club evidence."
Mexico,VASQUEZ Johan,,Genoa CFC (ITA),532937.0,Johan Vásquez,Accepted: unique exact normalized/reversed name and matching nationality; club similarity=40.0.,accepted,ChatGPT deterministic local-data review,2026-06-15,"Accepted only when local Transfermarkt data produced a unique or strict high-confidence match using name, nationality, DOB, and/or club evidence."
Mexico,LIRA Erik,,CF Cruz Azul (MEX),602324.0,Érik Lira,Accepted: unique exact normalized/reversed name and matching nationality; club similarity=46.808510638297875.,accepted,ChatGPT deterministic local-data review,2026-06-15,"Accepted only when local Transfermarkt data produced a unique or strict high-confidence match using name, nationality, DOB, and/or club evidence."
Mexico,ROMO Luis,,CD Guadalajara (MEX),532938.0,Luis Romo,Accepted: unique exact normalized/reversed name and matching nationality; club similarity=54.90196078431373.,accepted,ChatGPT deterministic local-data review,2026-06-15,"Accepted only when local Transfermarkt data produced a unique or strict high-confidence match using name, nationality, DOB, and/or club evidence."
Mexico,FIDALGO Alvaro,,Real Betis (ESP),261503.0,Álvaro Fidalgo,Accepted: unique exact normalized/reversed name and matching nationality; club similarity=57.14285714285714.,accepted,ChatGPT deterministic local-data review,2026-06-15,"Accepted only when local Transfermarkt data produced a unique or strict high-confidence match using name, nationality, DOB, and/or club evidence."
Mexico,JIMENEZ Raul,,Fulham FC (ENG),206040.0,Raúl Jiménez,Accepted: unique exact normalized/reversed name and matching nationality; club similarity=55.172413793103445.,accepted,ChatGPT deterministic local-data review,2026-06-15,"Accepted only when local Transfermarkt data produced a unique or strict high-confidence match using name, nationality, DOB, and/or club evidence."
Mexico,VEGA Alexis,,Deportivo Toluca FC (MEX),424689.0,Alexis Vega,Accepted: unique exact normalized/reversed name and matching nationality; club similarity=62.06896551724138.,accepted,ChatGPT deterministic local-data review,2026-06-15,"Accepted only when local Transfermarkt data produced a unique or strict high-confidence match using name, nationality, DOB, and/or club evidence."
