national_team,official_player_name,date_of_birth,transfermarkt_player_id,transfermarkt_name,link_status,source_url
Czechia,KOVAR Matej,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,ZIMA David,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,HOLES Tomas,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,HRANAC Robin,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,COUFAL Vladimir,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,CHALOUPEK Stepan,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,KREJCI Ladislav,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,DARIDA Vladimir,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,HLOZEK Adam,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,SCHICK Patrik,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,KUCHTA Jan,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,CERV Lukas,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,CHYTIL Mojmir,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,JURASEK David,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,SULC Pavel,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,STANEK Jindrich,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,PROVOD Lukas,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,SADILEK Michal,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,CHORY Tomas,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,ZELENY Jaroslav,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,DOUDERA David,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,SOUCEK Tomas,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,HORNICEK Lukas,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,SOJKA Alexandr,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,SOCHUREK Hugo,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Czechia,VISINSKY Denis,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Mexico,RANGEL Raul,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Mexico,SANCHEZ Jorge,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Mexico,MONTES Cesar,,,,unmatched_or_review,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
