team,elo_adj_last5,elo_adj_last10,gf_adj,ga_adj,xg_diff
Argentina,0.58,0.50,0.62,0.28,0.54
Australia,0.08,0.02,0.10,0.48,-0.04
Belgium,0.26,0.18,0.42,0.44,0.18
Brazil,0.36,0.34,0.46,0.36,0.30
Canada,0.12,0.04,0.12,0.40,0.02
Colombia,0.30,0.28,0.32,0.34,0.24
England,0.20,0.22,0.30,0.36,0.16
France,0.78,0.66,0.86,0.20,0.72
Mexico,0.42,0.30,0.40,0.30,0.34
Morocco,0.32,0.26,0.28,0.26,0.22
Norway,0.24,0.20,0.34,0.42,0.16
Paraguay,0.18,0.10,0.06,0.28,0.04
Portugal,0.18,0.24,0.28,0.34,0.14
Spain,0.70,0.58,0.72,0.14,0.68
Switzerland,0.22,0.18,0.20,0.28,0.16
United States,0.16,0.10,0.22,0.38,0.08
