team,total_squad_value,starting_xi_value,top5_league_minutes,champions_league_minutes,club_minutes_30d,club_minutes_90d,keeper_strength,attacking_depth,defensive_depth,missing_stars,suspensions,avg_age
Argentina,94,92,90,86,82,84,86,90,88,0,0,29.0
Australia,58,56,50,36,68,70,70,58,66,0,0,27.5
Belgium,82,80,78,70,78,80,78,84,76,0,0,28.2
Brazil,92,90,86,82,80,82,82,92,82,0,0,27.8
Canada,64,62,58,42,74,76,70,66,64,0,0,26.7
Colombia,82,80,74,62,78,78,76,82,80,0,0,27.9
England,90,88,88,84,78,80,82,90,84,0,0,27.1
France,95,94,92,88,84,86,84,94,90,0,0,27.3
Mexico,68,66,56,42,80,82,74,70,72,0,0,28.0
Morocco,78,76,70,58,76,78,82,74,80,0,0,27.6
Norway,76,74,68,56,78,80,74,80,70,0,0,27.0
Paraguay,66,64,54,38,76,78,72,64,76,0,0,28.1
Portugal,88,86,84,78,78,80,82,88,82,0,0,28.5
Spain,93,91,90,86,84,86,84,90,88,0,0,26.8
Switzerland,78,76,72,58,76,78,76,74,80,0,0,28.4
United States,74,72,66,50,78,80,74,76,72,0,0,26.5
