national_team,official_squad_player_name,date_of_birth,official_club,candidate_transfermarkt_player_id,transfermarkt_name,match_evidence,review_status,reviewer,reviewed_at,notes
Mexico,RANGEL Raul,,CD Guadalajara (MEX),,,name_only_rejected,pending,,,
Mexico,SANCHEZ Jorge,,PAOK Saloniki (GRE),,,name_only_rejected,pending,,,
Mexico,MONTES Cesar,,FC Lokomotiv Moscow (RUS),,,name_only_rejected,pending,,,
Mexico,ALVAREZ Edson,,Fenerbahçe SK (TUR),,,name_only_rejected,pending,,,
Mexico,VASQUEZ Johan,,Genoa CFC (ITA),,,name_only_rejected,pending,,,
Mexico,LIRA Erik,,CF Cruz Azul (MEX),,,name_only_rejected,pending,,,
Mexico,ROMO Luis,,CD Guadalajara (MEX),,,name_only_rejected,pending,,,
Mexico,FIDALGO Alvaro,,Real Betis (ESP),,,name_only_rejected,pending,,,
Mexico,JIMENEZ Raul,,Fulham FC (ENG),,,name_only_rejected,pending,,,
Mexico,VEGA Alexis,,Deportivo Toluca FC (MEX),,,name_only_rejected,pending,,,
Mexico,GIMENEZ Santiago,,AC Milan (ITA),,,name_only_rejected,pending,,,
Mexico,ACEVEDO Carlos,,Club Santos Laguna (MEX),,,name_only_rejected,pending,,,
Mexico,OCHOA Guillermo,,AEL Limassol (CYP),,,name_only_rejected,pending,,,
Mexico,GONZALEZ Armando,,CD Guadalajara (MEX),,,name_only_rejected,pending,,,
Mexico,REYES Israel,,Club América (MEX),,,name_only_rejected,pending,,,
Mexico,QUINONES Julian,,Al Qadsiah FC (KSA),,,name_only_rejected,pending,,,
Mexico,PINEDA Orbelin,,AEK Athens (GRE),,,name_only_rejected,pending,,,
Mexico,VARGAS Obed,,Atlético De Madrid (ESP),,,name_only_rejected,pending,,,
Mexico,MORA Gilberto,,Club Tijuana (MEX),,,name_only_rejected,pending,,,
Mexico,CHAVEZ Mateo,,AZ Alkmaar (NED),,,name_only_rejected,pending,,,
Mexico,HUERTA Cesar,,RSC Anderlecht (BEL),,,name_only_rejected,pending,,,
Mexico,MARTINEZ Guillermo,,Pumas UNAM (MEX),,,name_only_rejected,pending,,,
Mexico,GALLARDO Jesus,,Deportivo Toluca FC (MEX),,,name_only_rejected,pending,,,
Mexico,CHAVEZ Luis,,FC Dynamo Moscow (RUS),,,name_only_rejected,pending,,,
Mexico,ALVARADO Roberto,,CD Guadalajara (MEX),,,name_only_rejected,pending,,,
Mexico,GUTIERREZ Brian,,CD Guadalajara (MEX),,,name_only_rejected,pending,,,
South Africa,ZWANE Themba,1989-08-03,Mamelodi Sundowns FC (RSA),,,name_date_of_birth,pending,,,
South Africa,MASEKO Thapelo,2003-11-11,AEL Limassol (CYP),,,name_date_of_birth,pending,,,
South Africa,SITHOLE Sphephelo,1999-03-03,CD Tondela (POR),,,name_date_of_birth,pending,,,
South Africa,OKON Ime,2004-02-20,Hannover 96 (GER),,,name_date_of_birth,pending,,,
South Africa,CROSS Bradley,2001-01-30,Kaizer Chiefs FC (RSA),,,name_date_of_birth,pending,,,
South Korea,KIM Seunggyu,1990-09-30,FC Tokyo (JPN),,,name_date_of_birth,pending,,,
South Korea,LEE Hanbeom,2002-06-17,FC Midtjylland (DEN),,,name_date_of_birth,pending,,,
South Korea,LEE Gihyuk,2000-07-07,Gangwon FC (KOR),,,name_date_of_birth,pending,,,
South Korea,KIM Minjae,1996-11-15,FC Bayern München (GER),,,name_date_of_birth,pending,,,
South Korea,KIM Taehyeon,2000-09-17,Kashima Antlers (JPN),,,name_date_of_birth,pending,,,
South Korea,HWANG Inbeom,1996-09-20,Feyenoord Rotterdam (NED),,,name_date_of_birth,pending,,,
South Korea,SON Heungmin,1992-07-08,LAFC (USA),,,name_date_of_birth,pending,,,
South Korea,PAIK Seungho,1997-03-17,Birmingham City FC (ENG),,,name_date_of_birth,pending,,,
South Korea,CHO Guesung,1998-01-25,FC Midtjylland (DEN),,,name_date_of_birth,pending,,,
South Korea,LEE Jaesung,1992-08-10,1. FSV Mainz 05 (GER),,,name_date_of_birth,pending,,,
South Korea,HWANG Heechan,1996-01-26,Wolverhampton Wanderers FC (ENG),,,name_date_of_birth,pending,,,
South Korea,SONG Bumkeun,1997-10-15,Jeonbuk Hyundai Motors FC (KOR),,,name_date_of_birth,pending,,,
South Korea,LEE Taeseok,2002-07-28,FK Austria Wien (AUT),,,name_date_of_birth,pending,,,
South Korea,CHO Wije,2001-08-25,Jeonbuk Hyundai Motors FC (KOR),,,name_date_of_birth,pending,,,
South Korea,KIM Moonhwan,1995-08-01,Daejeon Hana Citizen FC (KOR),,,name_date_of_birth,pending,,,
South Korea,PARK Jinseob,1995-10-23,Zhejiang FC (CHN),,,name_date_of_birth,pending,,,
South Korea,BAE Junho,2003-08-21,Stoke City FC (ENG),,,name_date_of_birth,pending,,,
South Korea,OH Hyeongyu,2001-04-12,Beşiktaş JK (TUR),,,name_date_of_birth,pending,,,
South Korea,LEE Kangin,2001-02-19,Paris Saint-Germain (FRA),,,name_date_of_birth,pending,,,
South Korea,YANG Hyunjun,2002-05-25,Celtic FC (SCO),,,name_date_of_birth,pending,,,
South Korea,JO Hyeonwoo,1991-09-25,Ulsan HD (KOR),,,name_date_of_birth,pending,,,
South Korea,SEOL Youngwoo,1998-12-05,FK Crvena Zvezda (SRB),,,name_date_of_birth,pending,,,
South Korea,KIM Jingyu,1997-02-24,Jeonbuk Hyundai Motors FC (KOR),,,name_date_of_birth,pending,,,
South Korea,EOM Jisung,2002-05-09,Swansea City AFC (WAL),,,name_date_of_birth,pending,,,
South Korea,LEE Donggyeong,1997-09-20,Ulsan HD (KOR),,,name_date_of_birth,pending,,,
Bosnia and Herzegovina,JURKAS Mladen,2007-10-07,,,,name_date_of_birth,pending,,,
Canada,JONES Ale,1997-10-07,Middlesbrough FC (ENG),,,name_date_of_birth,pending,,,
Canada,AHMED Ali,2000-10-10,Norwich City FC (ENG),,,name_date_of_birth,pending,,,
Canada,SALIBA Nathan,2004-02-07,RSC Anderlecht (BEL),,,name_date_of_birth,pending,,,
Qatar,ABDULAZIZ HATEM,1990-01-01,,,,name_date_of_birth,pending,,,
Qatar,HASSAN ALHAYDOS,1990-12-11,,,,name_date_of_birth,pending,,,
Qatar,AYOUB ALOUI,2005-03-11,,,,name_date_of_birth,pending,,,
Qatar,HOMAM AHMED,1999-08-25,,,,name_date_of_birth,pending,,,
Qatar,AHMED ALGANEHI,2000-09-22,,,,name_date_of_birth,pending,,,
Qatar,SULTAN ALBRAKE,1996-04-07,,,,name_date_of_birth,pending,,,
Qatar,AHMED FATHY,1993-01-25,,,,name_date_of_birth,pending,,,
Qatar,TAHSIN MOHAMMED,2006-06-16,,,,name_date_of_birth,pending,,,
Qatar,ALHASHMI ALHUSSEIN,2003-08-15,,,,name_date_of_birth,pending,,,
Qatar,MOHAMED MANAI,2002-10-25,,,,name_date_of_birth,pending,,,
Switzerland,COEMERT Eray,1998-02-04,Valencia CF (ESP),,,name_date_of_birth,pending,,,
Brazil,EDERSON SILVA,1999-07-07,Atalanta Bergamo (ITA),,,name_date_of_birth,pending,,,
Brazil,GABRIEL MAGALHAES,1997-12-19,Arsenal FC (ENG),,,name_date_of_birth,pending,,,
Brazil,NEYMAR JR,1992-02-05,Santos FC (BRA),,,name_date_of_birth,pending,,,
Brazil,DANILO SANTOS,2001-04-29,Botafogo (BRA),,,name_date_of_birth,pending,,,
Haiti,THERMONCY Keeto,2006-03-29,BSC Young Boys (SUI),,,name_date_of_birth,pending,,,
Haiti,ADE Ricardo,1990-05-21,LDU Quito (ECU),,,name_date_of_birth,pending,,,
Haiti,SAINTE Carl,2002-08-09,El Paso Locomotive FC (USA),,,name_date_of_birth,pending,,,
Haiti,ETIENNE Derrick,1996-11-25,Toronto FC (CAN),,,name_date_of_birth,pending,,,
Haiti,EXPERIENCE Martin,1999-03-09,AS Nancy (FRA),,,name_date_of_birth,pending,,,
Haiti,LACROIX Markhus,1993-10-14,Colorado Springs Switchbacks FC (USA),,,name_date_of_birth,pending,,,
Haiti,METUSALA Garven,1999-12-31,Colorado Springs Switchbacks FC (USA),,,name_date_of_birth,pending,,,
Haiti,DUVERGER Josue,2000-04-27,FC Cosmos Koblenz (GER),,,name_date_of_birth,pending,,,
Haiti,PIERRE Woodensky,2004-12-30,Violette AC (HAI),,,name_date_of_birth,pending,,,
Morocco,RAHIMI Souane,1996-06-02,Al Ain FC (UAE),,,name_date_of_birth,pending,,,
Morocco,AMAIMOUNI Ayoube,2004-11-30,Eintracht Frankfurt (GER),,,name_date_of_birth,pending,,,
Morocco,TAGNAOUTI Ahmed Reda,1996-04-05,ASFAR (MAR),,,name_date_of_birth,pending,,,
Scotland,ROBERTSON Andy,1994-03-11,Liverpool FC (ENG),,,name_date_of_birth,pending,,,
Scotland,FLETCHER Tyler,2007-03-19,Manchester United FC (ENG),,,name_date_of_birth,pending,,,
Scotland,HYAM Dominic,1995-12-20,Wrexham AFC (WAL),,,name_date_of_birth,pending,,,
Australia,ONEILL Aiden,1998-07-04,New York City FC (USA),,,name_date_of_birth,pending,,,
Australia,DEVLIN Cameron,1998-06-07,Heart Of Midlothian FC (SCO),,,name_date_of_birth,pending,,,
Paraguay,FERNANDEZ Gatito,1988-03-29,Cerro Porteño (PAR),,,name_date_of_birth,pending,,,
Paraguay,VELAZQUEZ Gustavo,1991-04-17,Cerro Porteño (PAR),,,name_date_of_birth,pending,,,
Paraguay,CUBAS Andres,1996-05-11,Vancouver Whitecaps FC (CAN),,,name_only_rejected,pending,,,
Paraguay,ROMERO GAMARRA Alejandro,1995-01-11,Al Ain FC (UAE),,,name_date_of_birth,pending,,,
Paraguay,AVALOS Gabriel,1991-07-09,CA Independiente (ARG),,,name_only_rejected,pending,,,
Paraguay,OLVEIRA Gaston,1993-04-21,Club Olimpia (PAR),,,name_date_of_birth,pending,,,
Turkey,YILDIZ Kenan,2005-05-04,,,,name_date_of_birth,pending,,,
Turkey,BAYINDIR Altay,1998-04-14,,,,name_date_of_birth,pending,,,
Turkey,ELMALI Eren,2000-07-07,,,,name_date_of_birth,pending,,,
Turkey,BARDAKCI Abdulkerim,1994-09-07,,,,name_date_of_birth,pending,,,
Turkey,KADIOGLU Ferdi,1999-10-07,,,,name_date_of_birth,pending,,,
